<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20220919,160000,143.6200000,143.6450000,143.3600000,143.4730000,169072
20220919,170000,143.4750000,143.5420000,143.2700000,143.5080000,193614
20220919,180000,143.5080000,143.5870000,143.2600000,143.3000000,189954
20220919,190000,143.3020000,143.3730000,143.1400000,143.3400000,137761
20220919,200000,143.3430000,143.3490000,143.1700000,143.2340000,93891
20220919,210000,143.2290000,143.3610000,143.1300000,143.3540000,83457
20220919,220000,143.3570000,143.3900000,143.2300000,143.2610000,79563
20220919,230000,143.2610000,143.2770000,143.1200000,143.1710000,94683
20220920,000000,143.1680000,143.2750000,143.1500000,143.1930000,58464
20220920,010000,143.1850000,143.2500000,143.1520000,143.2350000,17440
20220920,020000,143.2450000,143.2760000,143.1700000,143.2270000,64489
20220920,030000,143.2250000,143.3410000,143.1700000,143.1820000,71380
20220920,040000,143.1790000,143.2620000,142.9100000,143.1800000,170197
20220920,050000,143.1800000,143.2460000,142.9200000,143.2350000,129987
20220920,060000,143.2320000,143.2980000,143.0400000,143.0900000,101326
20220920,070000,143.0790000,143.2170000,143.0500000,143.1850000,81385
20220920,080000,143.1960000,143.3830000,143.1600000,143.2950000,81520
20220920,090000,143.3050000,143.3530000,143.1800000,143.2790000,82198
20220920,100000,143.2790000,143.4520000,143.2300000,143.3870000,136853
20220920,110000,143.3870000,143.5560000,143.3400000,143.4620000,170466
20220920,120000,143.4660000,143.7510000,143.4300000,143.6530000,164538
20220920,130000,143.6600000,143.8180000,143.6000000,143.6870000,148755
20220920,140000,143.6770000,143.7430000,143.5100000,143.6180000,119473
20220920,150000,143.6160000,143.6570000,143.4500000,143.6250000,127967
20220920,160000,143.6240000,143.7280000,143.4700000,143.6810000,190811
20220920,170000,143.6800000,143.9240000,143.5800000,143.7280000,211274
20220920,180000,143.7280000,143.8540000,143.6100000,143.7250000,183088
20220920,190000,143.7200000,143.7550000,143.5900000,143.6420000,118542
20220920,200000,143.6370000,143.7050000,143.5700000,143.5910000,93396
20220920,210000,143.6020000,143.6860000,143.5000000,143.6250000,102777
20220920,220000,143.6350000,143.7040000,143.5500000,143.6520000,93080
20220920,230000,143.6620000,143.7070000,143.6000000,143.6750000,72729
20220921,000000,143.6710000,143.7620000,143.6100000,143.7360000,55175
20220921,010000,143.7190000,143.7500000,143.6040000,143.7200000,39681
20220921,020000,143.7150000,143.7400000,143.6200000,143.6470000,59615
20220921,030000,143.6400000,143.7000000,143.5100000,143.5790000,81812
20220921,040000,143.5820000,143.7590000,143.4500000,143.7130000,184515
20220921,050000,143.7190000,143.8410000,143.6200000,143.6800000,160565
20220921,060000,143.6700000,143.7780000,143.6000000,143.7600000,113273
20220921,070000,143.7660000,143.8780000,143.7100000,143.8370000,109293
20220921,080000,143.8370000,144.0550000,143.7600000,144.0190000,110347
20220921,090000,144.0160000,144.0770000,143.8800000,143.9560000,150845
20220921,100000,143.9470000,143.9790000,143.3900000,143.6000000,309770
20220921,110000,143.6060000,143.7460000,143.3200000,143.7330000,255647
20220921,120000,143.7410000,143.8340000,143.6400000,143.7450000,172213
20220921,130000,143.7410000,143.9620000,143.7200000,143.8730000,145581
20220921,140000,143.8700000,143.9580000,143.8100000,143.9040000,147934
20220921,150000,143.9100000,144.2100000,143.8900000,144.0720000,184366
20220921,160000,144.0720000,144.1170000,143.9000000,143.9820000,194770
20220921,170000,143.9800000,144.0520000,143.9100000,144.0400000,188571
20220921,180000,144.0260000,144.0950000,143.8500000,144.0590000,169914
20220921,190000,144.0650000,144.2130000,144.0500000,144.1360000,146550
20220921,200000,144.1360000,144.3970000,144.1200000,144.3840000,116234
20220921,210000,144.3910000,144.4000000,144.0400000,144.2270000,114620
20220921,220000,144.2260000,144.7040000,143.3800000,143.4950000,560883
20220921,230000,143.4920000,144.0540000,143.4300000,143.8540000,366157
20220922,000000,143.8560000,144.1100000,143.8300000,144.0650000,103476
20220922,010000,144.0420000,144.0900000,143.9460000,144.0600000,45818
20220922,020000,144.0630000,144.4410000,144.0010000,144.3720000,62606
20220922,030000,144.3790000,144.5530000,144.1600000,144.2380000,100273
20220922,040000,144.2320000,144.4670000,144.1200000,144.4130000,170442
20220922,050000,144.4200000,144.4890000,144.2400000,144.4230000,176489
20220922,060000,144.4260000,145.3970000,143.4430000,144.5610000,241048
20220922,070000,144.5570000,144.9610000,144.2070000,144.8470000,238558
20220922,080000,144.8530000,144.9460000,144.6100000,144.7970000,177564
20220922,090000,144.7980000,145.0420000,144.7300000,144.9180000,167107
20220922,100000,144.9180000,145.6760000,144.8300000,145.6500000,299682
20220922,110000,145.6530000,145.9030000,145.5700000,145.7660000,359982
20220922,120000,145.7760000,145.8470000,140.6180000,142.0720000,676388
20220922,130000,142.0830000,143.3980000,141.8530000,143.1930000,362155
20220922,140000,143.2020000,143.2090000,142.3400000,142.4960000,277739
20220922,150000,142.5050000,142.8120000,141.2200000,141.2430000,396053
20220922,160000,141.2460000,141.4570000,140.3300000,140.7170000,473727
20220922,170000,140.7140000,142.0420000,140.7000000,141.8960000,404426
20220922,180000,141.8950000,142.1910000,141.1800000,142.0290000,336842
20220922,190000,142.0280000,142.3860000,141.8600000,142.1540000,215610
20220922,200000,142.1600000,142.4460000,142.1200000,142.3570000,166996
20220922,210000,142.3590000,142.3680000,142.0600000,142.3010000,134655
20220922,220000,142.2910000,142.5050000,142.2500000,142.4900000,113257
20220922,230000,142.4830000,142.4920000,142.2500000,142.3500000,113681
20220923,000000,142.3460000,142.4360000,142.2890000,142.3740000,67753
20220923,010000,142.3700000,142.4110000,142.2820000,142.3030000,45487
20220923,020000,142.2900000,142.5880000,142.2740000,142.4330000,70122
20220923,030000,142.4350000,142.5020000,142.2200000,142.2660000,91155
20220923,040000,142.2710000,142.4450000,142.0400000,142.1100000,142824
20220923,050000,142.1060000,142.1900000,141.7400000,142.1050000,173992
20220923,060000,142.1050000,142.1810000,141.9300000,142.0100000,118458
20220923,070000,142.0150000,142.2570000,141.8700000,142.2080000,118062
20220923,080000,142.2170000,142.3280000,142.1300000,142.2900000,112920
20220923,090000,142.2940000,142.3070000,142.0900000,142.1410000,120486
20220923,100000,142.1370000,142.3290000,142.0600000,142.2290000,176914
20220923,110000,142.2210000,142.4600000,142.0700000,142.2700000,277858
20220923,120000,142.2670000,142.8960000,142.2200000,142.8660000,231780
20220923,130000,142.8660000,143.2680000,142.2460000,142.5550000,333127
20220923,140000,142.5570000,143.1700000,142.5300000,143.1590000,316226
20220923,150000,143.1690000,143.1720000,142.3460000,142.7970000,333980
20220923,160000,142.7870000,143.0020000,142.6500000,142.9470000,287185
20220923,170000,142.9470000,143.2890000,142.7100000,143.0970000,344410
20220923,180000,143.0930000,143.3060000,143.0200000,143.2730000,307915
20220923,190000,143.2760000,143.3340000,143.1000000,143.1760000,195144
20220923,200000,143.1780000,143.2970000,143.0600000,143.1830000,142643
20220923,210000,143.1780000,143.3910000,143.1000000,143.3740000,123418
20220923,220000,143.3660000,143.4620000,143.2700000,143.3650000,123496
20220923,230000,143.3680000,143.3740000,143.2200000,143.2830000,129173
20220924,000000,143.2850000,143.3880000,143.2470000,143.2960000,60159
20220924,010000,143.3200000,143.3200000,143.3200000,143.3200000,1
20220925,220000,143.2900000,143.2900000,143.2900000,143.2900000,3
20220925,230000,143.3000000,143.6490000,143.3000000,143.6490000,49
20220926,000000,143.6490000,143.7690000,143.6480000,143.6500000,111
20220926,010000,143.6420000,143.7030000,143.4280000,143.4600000,5169
20220926,020000,143.4510000,143.4890000,143.1840000,143.4840000,75128
20220926,030000,143.4900000,143.5760000,143.3600000,143.5190000,115210
20220926,040000,143.5190000,144.0840000,143.3800000,143.7890000,220699
20220926,050000,143.7860000,144.0010000,143.6400000,143.7500000,228656
20220926,060000,143.7720000,144.0100000,143.6400000,143.9590000,135256
20220926,070000,143.9550000,144.1660000,143.8700000,143.9580000,143900
20220926,080000,143.9580000,144.2020000,143.9100000,144.1560000,123803
20220926,090000,144.1560000,144.2650000,143.4830000,143.8330000,180033
20220926,100000,143.8330000,144.0310000,143.6400000,143.9930000,256088
20220926,110000,143.9950000,144.0450000,143.6300000,143.8190000,309308
20220926,120000,143.8180000,143.8710000,143.5300000,143.8280000,226466
20220926,130000,143.8280000,144.0900000,143.7000000,144.0660000,170122
20220926,140000,144.0620000,144.2860000,143.9500000,144.2590000,174499
20220926,150000,144.2590000,144.3750000,144.0900000,144.2030000,194714
20220926,160000,144.1980000,144.2550000,143.7600000,143.8750000,257269
20220926,170000,143.8840000,144.1870000,143.8400000,144.1690000,213961
20220926,180000,144.1590000,144.3630000,144.1100000,144.3510000,216461
20220926,190000,144.3510000,144.5090000,144.1900000,144.4690000,249916
20220926,200000,144.4660000,144.6410000,144.4300000,144.5460000,169811
20220926,210000,144.5430000,144.7740000,144.5100000,144.7150000,154184
20220926,220000,144.7220000,144.7890000,144.4900000,144.6180000,112957
20220926,230000,144.6100000,144.6660000,144.4800000,144.5700000,142355
20220927,000000,144.5830000,144.7500000,144.4900000,144.7440000,82764
20220927,010000,144.7440000,144.7500000,144.5690000,144.6800000,30626
20220927,020000,144.6900000,144.7410000,144.5700000,144.6050000,105762
20220927,030000,144.6090000,144.6360000,144.4200000,144.4640000,73211
20220927,040000,144.4710000,144.4920000,144.2500000,144.4390000,155916
20220927,050000,144.4360000,144.6100000,144.3000000,144.5500000,179409
20220927,060000,144.5600000,144.6420000,144.4300000,144.4880000,134288
20220927,070000,144.4880000,144.5450000,144.2900000,144.4030000,128644
20220927,080000,144.4120000,144.5500000,144.3400000,144.5200000,112988
20220927,090000,144.5290000,144.5540000,144.3400000,144.3900000,132433
20220927,100000,144.3900000,144.4590000,144.1800000,144.3240000,197874
20220927,110000,144.3230000,144.3770000,144.0300000,144.2690000,261581
